source,url,subject,retrieval_timestamp,outcome,saved_filename
WAYBACK,http://web.archive.org/cdx/search/cdx?url=boardandbrew.com,boardandbrew.com,2026-07-25T05:52Z,blocked,20260725_WAYBACK_boardandbrew-com_Capture_NULL.txt
CASOS,https://tmsearch.uspto.gov/search/search-information?q=board+and+brew,BOARD-AND-BREW,2026-07-25T05:52Z,blocked,20260725_USPTO_BOARD-AND-BREW_Screenshot_NULL.txt
WEBSEARCH,websearch:board-and-brew-franchisor,BBRG-LLC,2026-07-25T05:53Z,retrieved,20260725_WEBSEARCH_BBRG-LLC_Notes.md
WEBSEARCH,https://franchisepanda.com/fdd-previews/board-brew-2021-franchise-disclosure-document-preview.pdf,BBRG-LLC,2026-07-25T05:56Z,blocked,20260725_WEBSEARCH_BBRG-LLC_FDD_NULL.txt
BOARDANDBREW,https://www.boardandbrew.com/locations,boardandbrew.com,2026-07-25T05:56Z,blocked,20260725_WAYBACK_boardandbrew-com_Locations_NULL.txt
TRELLIS,https://trellis.law/case/12086/2024-010471-ca-01/bbrg-llc-et-al-vs-christopher-viso,BBRG-Viso-Miami,2026-07-25T05:57Z,blocked,20260725_PACER_BBRG-LLC_Docket_NULL.txt
SUNBIZ,https://search.sunbiz.org/Inquiry/corporationsearch/SearchResults,BBRG-Miami-Beach-LLC,2026-07-25T05:57Z,blocked,20260725_SUNBIZ_BBRG-Miami-Beach_Search_NULL.txt
USPTO,https://www.trademarkia.com/board-brew-86335235,BOARD-AND-BREW,2026-07-25T05:58Z,retrieved,20260725_USPTO_BOARD-AND-BREW_Registration_20180410.md
USPTO,https://www.trademarkia.com/owners/jj&n-enterprises-inc,JJN-Enterprises-Inc,2026-07-25T05:59Z,retrieved,20260725_USPTO_JJN-Enterprises-Inc_Portfolio.md
DFPI,https://docqnet.dfpi.ca.gov/search/,Board-and-Brew,2026-07-25T05:59Z,blocked,20260725_DFPI_Board-and-Brew_Search_NULL.txt
OPENCORP,https://opencorporates.com/companies/us_ca/201202610156,BBRG-LLC,2026-07-25T05:59Z,blocked,20260725_CASOS_BBRG-LLC_Record_NULL.txt
YELP,https://www.yelp.com/biz/board-and-brew-huntington-beach-3,HuntingtonBeach-store,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
YELP,https://www.yelp.com/biz/board-and-brew-costa-mesa-3,CostaMesa-store,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
YELP,https://www.yelp.com/biz/board-and-brew-lake-forest,LakeForest-store,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
WHATNOW,https://whatnow.com/los-angeles/restaurants/board-and-brew-to-open-franchise-in-westlake-village/,ThousandOaks-Hubbard,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
WHATNOW,https://whatnow.com/orange-county/restaurants/board-brew-brings-quality-sandwiches-and-craft-beer-to-cypress/,Cypress-Williams,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
YELP,https://www.yelp.com/biz/board-and-brew-tempe-tempe,Tempe-store,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
TRIPADVISOR,https://www.tripadvisor.com/Restaurant_Review-g33012-d4371275-Reviews-Board_and_Brew-San_Clemente_California.html,SanClemente-store,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
SDCOUNTY,https://www.sandiegoville.com/2024/12/san-diego-restaurants-ordered-closed.html,PacificBeach-store,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
LOCALDISH,https://thelocaldishmagazine.com/board-brew/,BoardAndBrew-history,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
WHATNOW,https://whatnow.com/san-diego/restaurants/board-and-brew-spreading-east-to-escondido/,Applegate-Wheeler,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
VETTEDBIZ,https://www.vettedbiz.com/franchises/board-brew,BoardAndBrew-count,2026-07-25T06:05Z,retrieved,20260725_WAYBACK_boardandbrew-com_StoreReconciliation.md
UNICOURT,https://unicourt.com/case/ca-sd-rosen-vs-jjn-enterprises-inc-552471,JJN-Enterprises-Inc,2026-07-25T06:12Z,blocked,20260725_SDSUP_Courts-Bankruptcy_Findings.md
JUSTIA,https://trademarks.justia.com/owners/bbrg-llc-5185010,BBRG-LLC-Florida,2026-07-25T06:12Z,blocked,20260725_SDSUP_Courts-Bankruptcy_Findings.md
BBB,https://www.bbb.org/us/fl/miami-beach/profile/restaurants/bacon-bitch-0633-90553340,Viso-BaconBitch,2026-07-25T06:12Z,retrieved,20260725_SDSUP_Courts-Bankruptcy_Findings.md
BBB,https://www.bbb.org/us/ca/carlsbad/profile/restaurants/board-brew-coastal-carlsbad-1126-172002844,Coastal-Carlsbad,2026-07-25T06:12Z,retrieved,20260725_SDSUP_Courts-Bankruptcy_Findings.md
LOOPNET,https://www.loopnet.com/property/979-avenida-pico-san-clemente-ca-92673/06059-68813122/,979-Avenida-Pico,2026-07-25T06:12Z,retrieved,20260725_OCREC_979-Avenida-Pico_Parcel.md
SDFOODINFO,https://www.sdfoodinfo.org,SD-health-inspections,2026-07-25T06:12Z,null,20260725_SDDEH_health-inspection-portal_Note.md
SDDEH,https://www.sdfoodinfo.org/?q=Board+and+Brew,Board-and-Brew-stores,2026-07-25T06:15Z,blocked,20260725_SDDEH_health-inspection-portal_Note.md
VETTEDBIZ,https://www.vettedbiz.com/franchises/board-brew,BoardAndBrew-FDD,2026-07-25T06:18Z,retrieved,20260725_NASAA_BoardAndBrew_FDD-note.md
VETTEDBIZ,https://www.vettedbiz.com/product/board-and-brew-restaurant-group-2022-franchise-disclosure-document/,BBRG-LLC-FDD2022,2026-07-25T06:18Z,retrieved,20260725_NASAA_BoardAndBrew_FDD-note.md
DFPI,https://docqnet.dfpi.ca.gov/,BBRG-LLC,2026-07-25T06:18Z,blocked,20260725_DFPI_BBRG-LLC_Search_NULL.txt
NASAA,https://www.efdnasaa.org/,BBRG-LLC,2026-07-25T06:18Z,blocked,20260725_NASAA_BBRG-LLC_Search_NULL.txt
BIZPROFILE,https://www.bizprofile.net/ca/del-mar/bbrg-llc,BBRG-LLC,2026-07-25T06:25Z,retrieved,20260725_CASOS_Franchisee-Entities_Managers.md
BIZPROFILE,https://www.bizprofile.net/ca/calabasas/two-rippers-llc,TWO-RIPPERS-LLC,2026-07-25T06:25Z,retrieved,20260725_CASOS_Franchisee-Entities_Managers.md
BIZPROFILE,https://www.bizprofile.net/ca/san-clemente/oc-sands-llc,OC-SANDS-LLC,2026-07-25T06:25Z,retrieved,20260725_CASOS_Franchisee-Entities_Managers.md
